Word	Earlier Prototype (~1900s)	Contemporary Prototype (~2000s–2020s)	Type of Shift
computer	Human calculator	Electronic device	Technological replacement
phone	Rotary landline	Smartphone	Technological evolution
camera	Film camera	Digital smartphone camera	Technological integration
car	Large mechanical sedan	Compact/electric/high-tech vehicle	Industrial/cultural
music	Live performance / radio	Streaming digital audio	Medium shift
library	Physical building of books	Hybrid digital information system	Institutional
office	Centralized workplace	Flexible/digital workspace	Social-technological
newspaper	Printed broadsheet	Online news platform	Media transition
friend	Long-term personal acquaintance	Social-media connection	Social abstraction
letter	Handwritten correspondence	Email/message (or archaic physical mail)	Communication
record	Vinyl/audio disc	Digital data entry or recording	Semantic competition
broadcast	Radio transmission	Internet streaming	Media convergence
television	Furniture-sized CRT set	Flat streaming screen/device ecosystem	Technological
doctor	General practitioner making house calls	Specialized institutional clinician	Professional specialization
family	Nuclear household with children	More diverse/variable social unit	Social restructuring
marriage	Primarily economic/social institution	Romantic/self-fulfillment partnership	Cultural
meal	Home-cooked family dinner	Convenience/restaurant/takeout food	Lifestyle
work	Physical/manual labor	Knowledge/service/digital labor	Economic
game	Physical/social pastime	Video game	Technological-cultural
book	Printed codex	Often digital/e-book/audiobook-inclusive	Medium expansion
map	Folded paper map	GPS/navigation app	Technological
store	Physical retail shop	E-commerce platform	Commercial
bank	Physical institution/building	Digital financial service	Institutional digitization
classroom	Physical room with teacher	Hybrid/online learning environment	Educational
meeting	In-person gathering	Video call	Communication technology
mail	Postal system	Email	Digital replacement
artist	Painter/sculptor	Multimedia creator/content creator	Cultural broadening
celebrity	Film/radio star	Influencer/media personality	Media democratization
journalist	Newspaper reporter	Multimedia online commentator	Media fragmentation
neighborhood	Geographically local community	Sometimes interest/network community	Social abstraction
farm	Small family farm	Industrial agribusiness	Economic-industrial
soldier	Infantryman in trenches	Technologically networked military operator	Military modernization
kitchen	Separate domestic workspace	Social/open-plan household hub	Domestic architecture
watch	Pocket/mechanical watch	Smartwatch/wearable	Technological layering
toy	Simple mechanical/wooden object	Electronic interactive product	Technological
pet	Functional domestic animal	Emotional family-member companion	Social-emotional
school	Discipline-oriented institution	Personal-development-oriented institution	Educational ideology
newspaper columnist	Elite public intellectual	Online opinion personality/blogger	Media ecology
diary	Private handwritten journal	Digital notes/blog/vlog	Medium shift
portrait	Painted/studio photograph	Selfie	Perspective shift
vacation	Rare extended travel	Frequent leisure experience	Economic-cultural
restaurant	Formal dine-in establishment	Fast-casual/global delivery ecosystem	Consumer behavior
worker	Factory laborer	Office/service/digital employee	Economic transition
village	Rural agricultural settlement	Picturesque/touristic or symbolic community	Urbanization
news	Daily curated reporting	Continuous real-time feed	Temporal acceleration
conversation	Face-to-face speech	Text/chat-based interaction	Communication mode
shopping	Visiting stores	Online browsing/purchasing	Commercial digitization
teacher	Sole authority lecturer	Facilitator/mentor	Educational culture
child	Economic contributor in family	Protected developmental individual	Social ideology
travel	Slow, elite, infrequent	Mass global mobility	Infrastructure expansion
radio	Central home entertainment	Niche/audio-streaming medium	Media competition
community	Geographic locality	Online/shared-interest network	Social virtualization
